adversary,split,method,pool_size,seed,rank1,rank5,mAP
reid,crossview_cam3,original,5,4,0.9809523809523809,0.9952380952380953,0.8171099459166845
reid,crossview_cam3,original,5,5,0.9518518518518518,0.9703703703703703,0.7613526982275632
reid,crossview_cam3,original,5,6,0.9972222222222222,0.9972222222222222,0.9661700662716908
reid,crossview_cam3,original,5,7,1.0,1.0,0.8356603161345538
reid,crossview_cam3,original,5,8,0.937037037037037,0.9944444444444445,0.6820322761234762
reid,crossview_cam3,original,5,9,0.9333333333333333,0.9783333333333334,0.7113855541709851
reid,crossview_cam3,original,5,10,0.9738095238095238,0.9785714285714285,0.8947100483412003
reid,crossview_cam3,original,5,11,0.8933333333333333,0.9333333333333333,0.7147191344332574
reid,crossview_cam3,original,5,12,0.9785714285714285,0.9904761904761905,0.896305367801415
reid,crossview_cam3,original,5,13,0.9642857142857143,0.9785714285714285,0.8164525013246586
reid,crossview_cam3,original,5,14,0.9444444444444444,0.9833333333333333,0.6822398016922226
reid,crossview_cam3,original,5,15,0.9904761904761905,0.9952380952380953,0.8123974176163453
reid,crossview_cam3,original,5,16,0.9833333333333333,0.9979166666666667,0.8529390836745582
reid,crossview_cam3,original,5,17,0.9722222222222222,0.9944444444444445,0.6985332529675513
reid,crossview_cam3,original,5,18,0.9714285714285714,0.9785714285714285,0.8772317732702939
reid,crossview_cam3,original,5,19,0.9583333333333334,0.9583333333333334,0.8958838079898096
reid,crossview_cam3,original,5,20,0.9547619047619048,0.9642857142857143,0.8728375708151577
reid,crossview_cam3,original,5,21,0.9629629629629629,0.9777777777777777,0.7995329033417795
reid,crossview_cam3,original,5,22,0.9611111111111111,0.9833333333333333,0.885725806566334
reid,crossview_cam3,original,5,23,0.9619047619047619,1.0,0.7473462616849367
reid,crossview_cam3,original,5,24,0.8907407407407407,0.9796296296296296,0.7878700163981537
reid,crossview_cam3,original,5,25,0.9796296296296296,0.9944444444444445,0.7743894543167084
reid,crossview_cam3,original,5,26,0.9666666666666667,0.99,0.7942032681767943
reid,crossview_cam3,original,5,27,0.9907407407407407,0.9981481481481481,0.7749397581484491
reid,crossview_cam3,original,5,28,0.9791666666666666,0.9875,0.8126008200618926
reid,crossview_cam3,original,5,29,0.9928571428571429,0.9976190476190476,0.9483711089124548
reid,crossview_cam3,original,10,0,0.9382352941176471,0.9911764705882353,0.6946569193944169
reid,crossview_cam3,original,10,1,0.8989583333333333,0.95,0.6845051862402182
reid,crossview_cam3,original,10,2,0.9125,0.98125,0.70191624094489
reid,crossview_cam3,original,10,3,0.9595238095238096,0.9833333333333333,0.7771097065070183
reid,crossview_cam3,original,10,4,0.8708333333333333,0.9305555555555556,0.6866456271824699
reid,crossview_cam3,original,10,5,0.9568627450980393,0.9764705882352941,0.6965540969569786
reid,crossview_cam3,original,10,6,0.9423076923076923,0.9923076923076923,0.7491936125320305
reid,crossview_cam3,original,10,7,0.9729166666666667,0.984375,0.7707852177105095
reid,crossview_cam3,original,10,8,0.9455555555555556,0.9722222222222222,0.750850572663242
reid,crossview_cam3,original,10,9,0.9397435897435897,0.9730769230769231,0.8321519174601436
reid,crossview_cam3,original,10,10,0.9270833333333334,0.971875,0.7138425619039777
reid,crossview_cam3,original,10,11,0.9395833333333333,0.9604166666666667,0.6698995045124595
reid,crossview_cam3,original,10,12,0.9211111111111111,0.9688888888888889,0.7557752595678183
reid,crossview_cam3,original,10,13,0.9904761904761905,0.9964285714285714,0.792536554481083
reid,crossview_cam3,original,10,14,0.925,0.9583333333333334,0.645799049684922
reid,crossview_cam3,original,10,15,0.9551282051282052,0.958974358974359,0.8178052305262309
reid,crossview_cam3,original,10,16,0.9122222222222223,0.9677777777777777,0.7251548188806947
