method,split,action,feature_support,manifest_support,top1
deepprivacy2,test_original_c2r2,89,33,33,0.30303030303030304
deepprivacy2,test_original_c2r2,90,33,33,0.5151515151515151
deepprivacy2,test_original_c2r2,91,33,33,0.24242424242424243
deepprivacy2,test_original_c2r2,92,33,33,1.0
deepprivacy2,test_original_c2r2,93,33,33,0.42424242424242425
deepprivacy2,test_original_c2r2,94,33,33,0.7575757575757576
deepprivacy2,test_original_c2r2,95,33,33,0.3333333333333333
deepprivacy2,test_original_c2r2,96,33,33,0.06060606060606061
deepprivacy2,test_original_c2r2,97,33,33,0.8787878787878788
deepprivacy2,test_original_c2r2,98,33,33,0.7575757575757576
deepprivacy2,test_original_c2r2,99,33,33,1.0
deepprivacy2,test_original_c2r2,100,33,33,0.9393939393939394
deepprivacy2,test_original_c2r2,101,33,33,0.9696969696969697
deepprivacy2,test_original_c2r2,102,33,33,0.696969696969697
deepprivacy2,test_original_c2r2,103,33,33,0.0
deepprivacy2,test_original_c2r2,104,33,33,0.30303030303030304
deepprivacy2,test_original_c2r2,105,33,33,0.18181818181818182
deepprivacy2,test_original_c2r2,106,33,33,0.42424242424242425
deepprivacy2,test_original_c2r2,107,33,33,0.5757575757575758
deepprivacy2,test_original_c2r2,108,33,33,0.09090909090909091
deepprivacy2,test_original_c2r2,109,33,33,0.15151515151515152
deepprivacy2,test_original_c2r2,110,33,33,0.30303030303030304
deepprivacy2,test_original_c2r2,111,33,33,0.7272727272727273
deepprivacy2,test_original_c2r2,112,33,33,0.5454545454545454
deepprivacy2,test_original_c2r2,113,33,33,0.5757575757575758
deepprivacy2,test_original_c2r2,114,33,33,0.9393939393939394
deepprivacy2,test_original_c2r2,115,33,33,0.3939393939393939
deepprivacy2,test_original_c2r2,116,33,33,0.9090909090909091
deepprivacy2,test_original_c2r2,117,33,33,0.24242424242424243
deepprivacy2,test_original_c2r2,118,33,33,0.3939393939393939
deepprivacy2,test_original_c2r2,119,33,33,0.8787878787878788
deepprivacy2,test_original_c2r2,120,33,33,0.8787878787878788
